date,series,title,status
22.08 sob.,Scrap Mechanic,"Jak zostałem nieudolnym mechanikiem - Scrap Mechanic [PL], #1",rzutoka
23.08 niedz.,,"",przerwa
24.08 pon.,XCOM 2 WOTC + mody [PL],"XCOM 2 WOTC + mody [PL], cz.76 - muton musi zginąć.",film
25.08 wt.,Shadow Empire: Republica DLC,"Shadow Empire: Republica DLC, cz.37 - ambicja, straty i nowe technologie.",film
26.08 śr.,Scrap Mechanic,"W pogoni za zasobami - Scrap Mechanic [PL], #2",rzutoka
27.08 czw.,Oxygen Not Included,"Problem z prądem. | Oxygen Not Included: Aquatic Planet Pack, cz.8",film
28.08 pt.,,"",przerwa
29.08 sob.,Scrap Mechanic,"Potrzebujemy nowego auta - Scrap Mechanic [PL], #3",rzutoka
30.08 niedz.,Oxygen Not Included,"Nieznany duplikant i quest. | Oxygen Not Included: Aquatic Planet Pack, cz.9",film
31.08 pon.,XCOM 2 WOTC + mody [PL],"XCOM 2 WOTC + mody [PL], cz.77 - dajcie nam spokój.",film
01.09 wt.,Shadow Empire: Republica DLC,"Shadow Empire: Republica DLC, cz.38 - lepsze drogi.",film
02.09 śr.,Scrap Mechanic,"Skąd ja wezmę pomidory? - Scrap Mechanic [PL], #4",rzutoka
03.09 czw.,Oxygen Not Included,"Potrzeba więcej turbin. | Oxygen Not Included: Aquatic Planet Pack, cz.10",film
04.09 pt.,,"",przerwa
05.09 sob.,Scrap Mechanic,"Piła tarczowa i trochę automatyzacji - Scrap Mechanic [PL], #5",rzutoka
06.09 niedz.,,"",przerwa
07.09 pon.,XCOM 2 WOTC + mody [PL],"XCOM 2 WOTC + mody [PL], cz.78 - epickie zakończenie misji.",film
08.09 wt.,Shadow Empire: Republica DLC,"Shadow Empire: Republica DLC, cz.39 - napięcie rośnie.",film
09.09 śr.,Scrap Mechanic,"Nowa lokacja bazy i obrona pomidorów - Scrap Mechanic [PL], #6",rzutoka
10.09 czw.,Oxygen Not Included,"Automatyzacja kanalizacji. | Oxygen Not Included: Aquatic Planet Pack, cz.11",film
11.09 pt.,,"",przerwa
12.09 sob.,Scrap Mechanic,"Winda oraz nowe zadania - Scrap Mechanic [PL], #7",rzutoka
13.09 niedz.,,"",przerwa
